"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2019","3,915.3","3,943.6","3,948.3","3,889.2","0.18K","-0.72%"
"Mar 09, 2019","3,943.6","3,867.3","3,963.2","3,859.1","0.22K","1.89%"
"Mar 08, 2019","3,870.6","3,880.5","3,927.0","3,797.5","0.66K","-0.26%"
"Mar 07, 2019","3,880.5","3,868.4","3,909.1","3,847.0","0.44K","0.31%"
"Mar 06, 2019","3,868.4","3,859.0","3,884.6","3,817.0","0.33K","0.40%"
"Mar 05, 2019","3,853.0","3,718.9","3,882.8","3,705.0","0.92K","3.61%"
"Mar 04, 2019","3,718.9","3,809.4","3,833.7","3,676.8","0.50K","-2.15%"
"Mar 03, 2019","3,800.7","3,829.0","3,840.4","3,786.4","0.19K","-0.74%"
"Mar 02, 2019","3,829.0","3,818.4","3,839.7","3,780.1","0.12K","0.28%"
"Mar 01, 2019","3,818.4","3,815.4","3,853.2","3,806.9","0.38K","0.04%"
"Feb 28, 2019","3,817.0","3,759.5","3,884.7","3,759.5","0.28K","1.53%"
"Feb 27, 2019","3,759.5","3,815.1","3,840.0","3,691.7","0.38K","-1.46%"
"Feb 26, 2019","3,815.1","3,832.3","3,843.8","3,780.3","0.27K","-0.45%"
"Feb 25, 2019","3,832.3","3,747.3","3,884.1","3,743.4","2.13K","2.18%"
"Feb 24, 2019","3,750.6","4,118.4","4,197.1","3,724.5","2.19K","-8.94%"
"Feb 23, 2019","4,118.9","3,975.0","4,152.0","3,936.2","0.78K","3.62%"
"Feb 22, 2019","3,975.0","3,935.8","3,985.0","3,925.0","0.44K","0.66%"
"Feb 21, 2019","3,949.0","3,982.3","4,015.9","3,909.0","0.51K","-0.90%"
"Feb 20, 2019","3,984.9","3,903.9","3,984.9","3,877.6","0.72K","2.07%"
"Feb 19, 2019","3,903.9","3,894.8","3,984.0","3,855.2","0.70K","0.23%"
"Feb 18, 2019","3,894.8","3,671.0","3,914.2","3,655.7","1.55K","6.10%"
"Feb 17, 2019","3,671.0","3,619.5","3,711.0","3,600.2","0.35K","1.55%"
"Feb 16, 2019","3,615.1","3,610.7","3,645.0","3,596.9","0.26K","0.33%"
"Feb 15, 2019","3,603.2","3,594.8","3,655.5","3,575.0","0.30K","0.23%"
"Feb 14, 2019","3,594.8","3,612.2","3,625.0","3,574.0","0.28K","-0.48%"
"Feb 13, 2019","3,612.2","3,635.7","3,670.0","3,596.3","0.22K","-0.50%"
"Feb 12, 2019","3,630.2","3,627.5","3,663.2","3,590.0","0.39K","0.08%"
"Feb 11, 2019","3,627.5","3,676.3","3,679.3","3,616.9","0.26K","-1.33%"
"Feb 10, 2019","3,676.3","3,670.0","3,686.6","3,615.8","0.24K","0.17%"
"Feb 09, 2019","3,670.0","3,654.8","3,678.4","3,628.0","0.40K","0.24%"
"Feb 08, 2019","3,661.3","3,400.0","3,734.4","3,375.0","0.74K","7.99%"
"Feb 07, 2019","3,390.4","3,402.0","3,425.3","3,390.0","0.19K","-0.34%"
"Feb 06, 2019","3,402.0","3,468.9","3,473.0","3,377.7","0.36K","-1.93%"
"Feb 05, 2019","3,468.9","3,465.1","3,481.1","3,449.6","0.24K","0.11%"
"Feb 04, 2019","3,465.1","3,460.0","3,485.0","3,431.1","0.26K","0.21%"
"Feb 03, 2019","3,458.0","3,509.3","3,514.6","3,424.7","0.38K","-1.21%"
"Feb 02, 2019","3,500.3","3,465.0","3,518.4","3,440.0","0.34K","1.02%"
"Feb 01, 2019","3,465.0","3,426.6","3,483.6","3,401.1","0.47K","1.12%"
"Jan 31, 2019","3,426.6","3,455.4","3,486.3","3,421.1","0.40K","-0.83%"
"Jan 30, 2019","3,455.4","3,406.6","3,479.4","3,390.0","0.43K","1.43%"
"Jan 29, 2019","3,406.6","3,442.0","3,447.5","3,357.3","0.44K","-1.03%"
"Jan 28, 2019","3,442.0","3,559.0","3,561.2","3,385.8","0.79K","-3.11%"
"Jan 27, 2019","3,552.6","3,565.6","3,580.6","3,496.0","0.53K","-0.37%"
"Jan 26, 2019","3,565.6","3,573.5","3,654.2","3,547.9","0.33K","-0.04%"
"Jan 25, 2019","3,567.0","3,565.5","3,582.0","3,513.3","0.43K","0.04%"
"Jan 24, 2019","3,565.5","3,548.3","3,585.1","3,528.9","0.33K","0.32%"
"Jan 23, 2019","3,554.0","3,578.0","3,598.0","3,520.0","0.55K","-0.45%"
"Jan 22, 2019","3,570.0","3,525.1","3,597.2","3,443.4","0.48K","1.31%"
"Jan 21, 2019","3,523.7","3,548.4","3,553.2","3,493.3","0.38K","-0.40%"
"Jan 20, 2019","3,537.9","3,677.9","3,692.5","3,474.9","0.75K","-3.81%"
"Jan 19, 2019","3,677.9","3,600.0","3,715.5","3,590.7","0.47K","2.17%"
"Jan 18, 2019","3,599.9","3,609.5","3,620.3","3,570.0","0.25K","-0.27%"
"Jan 17, 2019","3,609.5","3,596.7","3,634.8","3,540.0","0.30K","0.64%"
"Jan 16, 2019","3,586.7","3,551.0","3,637.8","3,541.0","0.45K","1.01%"
"Jan 15, 2019","3,551.0","3,618.0","3,653.1","3,517.3","0.48K","-1.87%"
"Jan 14, 2019","3,618.7","3,473.3","3,666.0","3,466.7","0.88K","4.19%"
"Jan 13, 2019","3,473.3","3,587.9","3,604.1","3,451.0","0.76K","-2.92%"
"Jan 12, 2019","3,577.8","3,607.1","3,623.4","3,545.2","0.51K","-0.81%"
"Jan 11, 2019","3,607.1","3,591.4","3,651.0","3,538.4","1.06K","0.52%"
"Jan 10, 2019","3,588.5","3,961.4","3,993.8","3,540.9","1.36K","-9.41%"
"Jan 09, 2019","3,961.4","3,956.3","4,001.2","3,947.8","0.64K","0.13%"
"Jan 08, 2019","3,956.3","3,970.8","4,066.6","3,915.0","0.89K","-0.36%"
"Jan 07, 2019","3,970.8","3,991.0","4,016.5","3,921.1","0.54K","-0.48%"
"Jan 06, 2019","3,990.0","3,775.1","4,023.1","3,742.5","0.76K","5.69%"
"Jan 05, 2019","3,775.1","3,792.6","3,836.6","3,752.4","0.31K","-0.46%"
"Jan 04, 2019","3,792.6","3,765.6","3,822.0","3,702.9","0.61K","0.72%"
"Jan 03, 2019","3,765.6","3,853.0","3,867.9","3,725.0","0.52K","-2.49%"
"Jan 02, 2019","3,861.9","3,804.7","3,882.0","3,755.8","0.49K","1.75%"
"Jan 01, 2019","3,795.5","3,702.2","3,809.7","3,647.4","0.51K","2.52%"
"Dec 31, 2018","3,702.2","3,806.4","3,806.4","3,644.8","0.76K","-2.58%"
"Dec 30, 2018","3,800.3","3,685.7","3,819.0","3,656.8","0.59K","3.36%"
"Dec 29, 2018","3,676.8","3,839.2","3,883.5","3,675.0","0.67K","-4.27%"
"Dec 28, 2018","3,840.9","3,571.7","3,883.5","3,541.0","1.17K","7.72%"
"Dec 27, 2018","3,565.5","3,785.3","3,815.0","3,535.0","0.95K","-5.82%"
"Dec 26, 2018","3,785.7","3,737.5","3,830.0","3,659.8","1.09K","1.29%"
"Dec 25, 2018","3,737.5","4,012.8","4,015.8","3,647.0","1.40K","-6.86%"
"Dec 24, 2018","4,012.8","3,928.1","4,195.5","3,928.1","1.58K","2.16%"
"Dec 23, 2018","3,928.1","3,957.4","4,022.0","3,884.2","0.54K","-0.54%"
"Dec 22, 2018","3,949.4","3,839.4","3,971.2","3,786.1","0.73K","2.86%"
"Dec 21, 2018","3,839.4","4,052.0","4,138.5","3,767.6","1.88K","-5.23%"
"Dec 20, 2018","4,051.1","3,660.0","4,117.9","3,640.0","2.22K","10.58%"
"Dec 19, 2018","3,663.5","3,652.2","3,908.4","3,625.8","2.37K","0.25%"
"Dec 18, 2018","3,654.3","3,512.0","3,671.3","3,438.5","0.99K","4.09%"
"Dec 17, 2018","3,510.6","3,226.0","3,582.3","3,217.9","1.83K","8.82%"
"Dec 16, 2018","3,226.0","3,209.4","3,290.0","3,206.7","0.36K","0.37%"
"Dec 15, 2018","3,214.0","3,219.9","3,265.6","3,159.0","0.57K","-0.34%"
"Dec 14, 2018","3,225.0","3,300.0","3,328.5","3,172.0","1.31K","-2.27%"
"Dec 13, 2018","3,300.0","3,450.0","3,454.6","3,264.2","1.01K","-4.35%"
"Dec 12, 2018","3,450.0","3,373.0","3,489.1","3,349.4","0.86K","2.15%"
"Dec 11, 2018","3,377.5","3,448.0","3,457.7","3,329.0","1.02K","-2.05%"
"Dec 10, 2018","3,448.0","3,540.0","3,603.5","3,379.4","0.80K","-2.74%"
"Dec 09, 2018","3,545.0","3,409.4","3,644.0","3,387.6","1.03K","3.98%"
"Dec 08, 2018","3,409.4","3,399.1","3,492.6","3,276.8","0.97K","0.23%"
"Dec 07, 2018","3,401.6","3,505.7","3,527.3","3,229.1","2.85K","-2.91%"
"Dec 06, 2018","3,503.4","3,759.3","3,889.0","3,501.0","2.04K","-6.71%"
"Dec 05, 2018","3,755.5","3,960.4","3,972.0","3,750.0","0.86K","-4.97%"
"Dec 04, 2018","3,951.8","3,884.3","4,086.1","3,800.0","0.94K","1.68%"
"Dec 03, 2018","3,886.4","4,165.4","4,176.5","3,830.0","1.38K","-6.49%"
"Dec 02, 2018","4,156.2","4,192.7","4,308.9","4,108.1","0.86K","-0.96%"
"Dec 01, 2018","4,196.4","4,044.7","4,300.0","3,967.4","1.01K","3.75%"
"Nov 30, 2018","4,044.7","4,310.5","4,336.0","3,946.8","1.51K","-5.69%"
"Nov 29, 2018","4,288.7","4,268.3","4,446.8","4,128.3","1.92K","0.68%"
"Nov 28, 2018","4,259.5","3,887.1","4,388.4","3,861.8","2.45K","9.58%"
"Nov 27, 2018","3,887.1","3,868.6","3,941.5","3,693.0","1.04K","0.48%"
"Nov 26, 2018","3,868.6","4,093.1","4,202.0","3,690.0","1.75K","-5.46%"
"Nov 25, 2018","4,092.0","3,938.6","4,226.0","3,659.4","2.21K","3.76%"
"Nov 24, 2018","3,943.7","4,417.0","4,526.5","3,830.0","1.30K","-10.72%"
"Nov 23, 2018","4,417.0","4,355.0","4,488.9","4,229.9","1.09K","1.22%"
"Nov 22, 2018","4,364.0","4,663.9","4,717.9","4,347.0","0.68K","-6.38%"
"Nov 21, 2018","4,661.2","4,568.2","4,779.0","4,410.2","0.89K","1.82%"
"Nov 20, 2018","4,578.1","4,925.0","5,055.3","4,335.4","4.23K","-7.08%"
"Nov 19, 2018","4,927.0","5,659.3","5,661.9","4,865.0","3.40K","-12.94%"
"Nov 18, 2018","5,659.3","5,626.9","5,738.7","5,601.6","0.23K","0.64%"
"Nov 17, 2018","5,623.5","5,640.0","5,653.1","5,570.0","0.29K","-0.67%"
"Nov 16, 2018","5,661.2","5,739.1","5,774.0","5,542.6","0.47K","-1.65%"
"Nov 15, 2018","5,756.3","5,913.9","5,935.8","5,417.8","1.35K","-2.67%"
"Nov 14, 2018","5,913.9","6,464.2","6,481.5","5,684.0","2.02K","-8.57%"
"Nov 13, 2018","6,468.5","6,435.8","6,503.7","6,389.7","0.35K","0.29%"
"Nov 12, 2018","6,449.8","6,460.0","6,486.0","6,424.6","0.11K","-0.16%"
"Nov 11, 2018","6,460.0","6,445.1","6,462.3","6,360.0","0.16K","0.23%"
"Nov 10, 2018","6,445.1","6,419.0","6,477.8","6,419.0","0.13K","0.40%"
"Nov 09, 2018","6,419.6","6,481.9","6,515.0","6,394.6","0.25K","-1.25%"
"Nov 08, 2018","6,501.0","6,579.5","6,589.8","6,472.1","0.18K","-1.19%"
"Nov 07, 2018","6,579.5","6,520.0","6,615.0","6,512.0","0.32K","0.99%"
