"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2019","0.014436","0.014674","0.014706","0.014379","5.86K","-1.39%"
"Mar 09, 2019","0.014640","0.014424","0.015090","0.014359","12.43K","1.50%"
"Mar 08, 2019","0.014424","0.014613","0.014746","0.014198","11.95K","-1.29%"
"Mar 07, 2019","0.014613","0.014327","0.015075","0.014000","24.38K","1.90%"
"Mar 06, 2019","0.014340","0.013650","0.014580","0.013415","17.04K","5.44%"
"Mar 05, 2019","0.013600","0.012327","0.014021","0.012206","21.32K","10.33%"
"Mar 04, 2019","0.012327","0.012528","0.012596","0.012140","5.64K","-1.60%"
"Mar 03, 2019","0.012528","0.012683","0.012779","0.012440","6.05K","-1.22%"
"Mar 02, 2019","0.012683","0.012335","0.012870","0.012294","8.38K","3.53%"
"Mar 01, 2019","0.012250","0.011994","0.012693","0.011902","7.70K","2.14%"
"Feb 28, 2019","0.011994","0.011760","0.012085","0.011760","3.82K","1.99%"
"Feb 27, 2019","0.011760","0.011771","0.011880","0.011541","3.66K","-0.09%"
"Feb 26, 2019","0.011771","0.011905","0.011979","0.011600","4.38K","-0.77%"
"Feb 25, 2019","0.011862","0.011694","0.012127","0.011578","10.85K","1.56%"
"Feb 24, 2019","0.011680","0.012494","0.012756","0.011418","26.56K","-6.52%"
"Feb 23, 2019","0.012494","0.012400","0.012739","0.012214","7.93K","0.47%"
"Feb 22, 2019","0.012436","0.012438","0.012587","0.012257","6.32K","0.52%"
"Feb 21, 2019","0.012371","0.012981","0.012993","0.012252","10.61K","-4.70%"
"Feb 20, 2019","0.012981","0.012038","0.013123","0.011935","17.33K","7.83%"
"Feb 19, 2019","0.012038","0.012253","0.012439","0.012013","11.06K","-1.75%"
"Feb 18, 2019","0.012253","0.011931","0.012570","0.011803","17.38K","2.20%"
"Feb 17, 2019","0.011989","0.011977","0.012175","0.011812","4.82K","0.09%"
"Feb 16, 2019","0.011979","0.011825","0.012181","0.011701","9.55K","1.51%"
"Feb 15, 2019","0.011800","0.011463","0.012195","0.011445","7.53K","2.94%"
"Feb 14, 2019","0.011463","0.011544","0.011718","0.011330","6.70K","-0.79%"
"Feb 13, 2019","0.011554","0.012087","0.012189","0.011300","7.50K","-4.41%"
"Feb 12, 2019","0.012087","0.011807","0.012267","0.011688","8.36K","2.37%"
"Feb 11, 2019","0.011807","0.012678","0.012747","0.011577","15.72K","-6.87%"
"Feb 10, 2019","0.012678","0.012222","0.012990","0.011684","22.98K","3.70%"
"Feb 09, 2019","0.012226","0.011750","0.012686","0.011541","43.08K","3.86%"
"Feb 08, 2019","0.011771","0.009750","0.011990","0.009703","46.32K","20.80%"
"Feb 07, 2019","0.009744","0.009665","0.009834","0.009621","4.10K","0.82%"
"Feb 06, 2019","0.009665","0.009900","0.009900","0.009533","10.65K","-2.38%"
"Feb 05, 2019","0.009900","0.009840","0.009949","0.009755","5.21K","0.10%"
"Feb 04, 2019","0.009890","0.009625","0.009959","0.009625","8.42K","2.75%"
"Feb 03, 2019","0.009625","0.009890","0.009950","0.009601","7.97K","-2.23%"
"Feb 02, 2019","0.009845","0.009413","0.009960","0.009410","7.96K","4.83%"
"Feb 01, 2019","0.009392","0.009170","0.009654","0.009020","8.87K","2.42%"
"Jan 31, 2019","0.009170","0.009171","0.009320","0.009076","5.31K","0.33%"
"Jan 30, 2019","0.009140","0.009070","0.009209","0.008974","4.80K","0.88%"
"Jan 29, 2019","0.009060","0.009022","0.009139","0.008870","15.11K","0.42%"
"Jan 28, 2019","0.009022","0.009081","0.009139","0.008795","7.02K","-0.66%"
"Jan 27, 2019","0.009081","0.009204","0.009268","0.008979","3.42K","-1.29%"
"Jan 26, 2019","0.009200","0.009163","0.009340","0.009123","6.94K","0.41%"
"Jan 25, 2019","0.009163","0.009087","0.009207","0.009008","15.64K","0.84%"
"Jan 24, 2019","0.009087","0.008928","0.009228","0.008777","8.04K","1.77%"
"Jan 23, 2019","0.008928","0.008815","0.008980","0.008781","6.62K","1.29%"
"Jan 22, 2019","0.008815","0.008726","0.008890","0.008520","13.01K","1.02%"
"Jan 21, 2019","0.008726","0.008670","0.008785","0.008638","5.42K","1.09%"
"Jan 20, 2019","0.008632","0.008732","0.009000","0.008600","11.08K","-1.04%"
"Jan 19, 2019","0.008723","0.008585","0.008875","0.008561","8.87K","1.70%"
"Jan 18, 2019","0.008577","0.008709","0.008718","0.008490","6.15K","-1.51%"
"Jan 17, 2019","0.008709","0.008700","0.008755","0.008420","9.89K","-0.18%"
"Jan 16, 2019","0.008725","0.008634","0.008765","0.008570","6.73K","0.75%"
"Jan 15, 2019","0.008660","0.008733","0.008870","0.008529","5.52K","-1.02%"
"Jan 14, 2019","0.008749","0.008527","0.008863","0.008480","11.31K","2.61%"
"Jan 13, 2019","0.008527","0.008826","0.009090","0.008452","8.76K","-3.73%"
"Jan 12, 2019","0.008858","0.008774","0.008890","0.008692","13.68K","1.46%"
"Jan 11, 2019","0.008730","0.009130","0.009210","0.008670","32.97K","-4.38%"
"Jan 10, 2019","0.009130","0.009648","0.009735","0.008900","19.79K","-4.95%"
"Jan 09, 2019","0.009605","0.009770","0.009940","0.009580","11.97K","-1.69%"
"Jan 08, 2019","0.009770","0.009355","0.010072","0.009355","20.07K","4.44%"
"Jan 07, 2019","0.009355","0.009645","0.009754","0.009305","12.35K","-3.01%"
"Jan 06, 2019","0.009645","0.009095","0.010078","0.009003","34.17K","6.05%"
"Jan 05, 2019","0.009095","0.008400","0.009423","0.008360","37.71K","8.40%"
"Jan 04, 2019","0.008390","0.008350","0.008567","0.008282","5.68K","0.88%"
"Jan 03, 2019","0.008317","0.008490","0.008526","0.008209","5.24K","-1.74%"
"Jan 02, 2019","0.008465","0.008265","0.008590","0.008262","10.31K","1.86%"
"Jan 01, 2019","0.008310","0.008075","0.008467","0.008010","6.32K","2.92%"
"Dec 31, 2018","0.008075","0.008270","0.008274","0.008025","9.54K","-1.92%"
"Dec 30, 2018","0.008233","0.008197","0.008320","0.008148","5.55K","0.44%"
"Dec 29, 2018","0.008197","0.008305","0.008470","0.008120","7.22K","-1.14%"
"Dec 28, 2018","0.008292","0.007713","0.008490","0.007713","23.57K","7.51%"
"Dec 27, 2018","0.007713","0.008015","0.008100","0.007606","9.21K","-3.77%"
"Dec 26, 2018","0.008015","0.008155","0.008292","0.007830","14.27K","-1.44%"
"Dec 25, 2018","0.008132","0.008143","0.008247","0.008002","10.67K","-0.04%"
"Dec 24, 2018","0.008136","0.008400","0.008638","0.008064","27.96K","-2.90%"
"Dec 23, 2018","0.008379","0.007950","0.008515","0.007907","20.36K","5.40%"
"Dec 22, 2018","0.007950","0.007865","0.007970","0.007816","7.68K","1.08%"
"Dec 21, 2018","0.007865","0.007970","0.007999","0.007750","16.25K","-0.80%"
"Dec 20, 2018","0.007928","0.007880","0.008043","0.007670","16.52K","0.77%"
"Dec 19, 2018","0.007867","0.008170","0.008436","0.007797","27.04K","-3.70%"
"Dec 18, 2018","0.008170","0.008274","0.008349","0.008000","13.42K","-1.25%"
"Dec 17, 2018","0.008274","0.007928","0.008540","0.007859","36.33K","4.56%"
"Dec 16, 2018","0.007913","0.007336","0.008180","0.007327","31.66K","7.87%"
"Dec 15, 2018","0.007336","0.007243","0.007400","0.007150","6.94K","1.28%"
"Dec 14, 2018","0.007243","0.006975","0.007243","0.006900","8.02K","3.83%"
"Dec 13, 2018","0.006975","0.007029","0.007095","0.006955","6.08K","-0.34%"
"Dec 12, 2018","0.006999","0.006985","0.007189","0.006945","10.56K","1.28%"
"Dec 11, 2018","0.006911","0.007030","0.007145","0.006886","8.81K","-1.69%"
"Dec 10, 2018","0.007030","0.007152","0.007185","0.006927","14.53K","-1.71%"
"Dec 09, 2018","0.007152","0.007100","0.007481","0.007100","10.64K","0.73%"
"Dec 08, 2018","0.007100","0.007313","0.007673","0.006925","15.77K","-4.02%"
"Dec 07, 2018","0.007397","0.007610","0.007660","0.006870","25.52K","-2.80%"
"Dec 06, 2018","0.007610","0.007795","0.007864","0.007480","38.24K","-2.37%"
"Dec 05, 2018","0.007795","0.007865","0.007945","0.007700","13.17K","-0.89%"
"Dec 04, 2018","0.007865","0.007980","0.008011","0.007850","6.42K","-1.29%"
"Dec 03, 2018","0.007968","0.008100","0.008155","0.007828","8.42K","-1.63%"
"Dec 02, 2018","0.008100","0.008155","0.008210","0.008028","9.38K","-0.67%"
"Dec 01, 2018","0.008155","0.007980","0.008229","0.007880","4.95K","2.08%"
"Nov 30, 2018","0.007989","0.007928","0.008039","0.007764","7.66K","0.77%"
"Nov 29, 2018","0.007928","0.008125","0.008240","0.007864","14.00K","-2.43%"
"Nov 28, 2018","0.008125","0.008183","0.008395","0.007926","18.49K","-0.12%"
"Nov 27, 2018","0.008135","0.007785","0.008185","0.007779","13.33K","3.62%"
"Nov 26, 2018","0.007851","0.007727","0.007948","0.007608","23.30K","1.69%"
"Nov 25, 2018","0.007720","0.007566","0.007770","0.007420","17.71K","2.32%"
"Nov 24, 2018","0.007545","0.007418","0.007620","0.007321","11.47K","1.77%"
"Nov 23, 2018","0.007414","0.007370","0.007580","0.007268","9.28K","0.05%"
"Nov 22, 2018","0.007410","0.007524","0.007584","0.007344","8.62K","-1.65%"
"Nov 21, 2018","0.007534","0.007405","0.007534","0.007257","10.41K","1.75%"
"Nov 20, 2018","0.007405","0.007519","0.007700","0.007100","29.00K","-1.80%"
"Nov 19, 2018","0.007540","0.007523","0.007580","0.007060","14.08K","0.35%"
"Nov 18, 2018","0.007513","0.007540","0.007635","0.007500","6.83K","-0.35%"
"Nov 17, 2018","0.007540","0.007602","0.007617","0.007500","6.69K","-0.81%"
"Nov 16, 2018","0.007602","0.007770","0.007819","0.007560","7.65K","-2.17%"
"Nov 15, 2018","0.007770","0.007628","0.007895","0.007556","11.92K","1.87%"
"Nov 14, 2018","0.007628","0.007782","0.007924","0.007159","20.74K","-1.99%"
"Nov 13, 2018","0.007782","0.007934","0.007975","0.007690","4.21K","-1.92%"
"Nov 12, 2018","0.007934","0.007996","0.008050","0.007860","7.81K","-0.62%"
