"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2019","56.700","57.610","57.990","56.000","0.62K","-1.58%"
"Mar 09, 2019","57.610","55.600","59.453","55.600","2.28K","3.62%"
"Mar 08, 2019","55.600","56.790","57.505","54.550","3.48K","-2.10%"
"Mar 07, 2019","56.790","55.614","59.000","54.005","5.85K","1.90%"
"Mar 06, 2019","55.731","52.807","56.500","51.203","2.64K","5.54%"
"Mar 05, 2019","52.807","45.796","54.071","45.339","8.34K","15.31%"
"Mar 04, 2019","45.796","47.678","48.197","44.780","1.21K","-3.95%"
"Mar 03, 2019","47.678","48.512","49.011","47.308","1.62K","-1.72%"
"Mar 02, 2019","48.512","47.255","49.310","46.458","1.37K","2.66%"
"Mar 01, 2019","47.255","46.145","49.203","45.671","1.47K","2.41%"
"Feb 28, 2019","46.145","44.269","46.574","44.269","2.10K","4.24%"
"Feb 27, 2019","44.269","44.860","45.473","42.500","2.95K","-1.32%"
"Feb 26, 2019","44.860","45.329","45.777","44.211","2.18K","-1.03%"
"Feb 25, 2019","45.329","43.740","46.829","43.700","4.58K","3.63%"
"Feb 24, 2019","43.740","51.312","53.200","42.500","14.08K","-14.76%"
"Feb 23, 2019","51.312","49.672","51.753","48.045","1.95K","3.30%"
"Feb 22, 2019","49.672","48.886","49.808","48.204","1.24K","1.61%"
"Feb 21, 2019","48.883","51.494","51.728","47.501","3.69K","-5.07%"
"Feb 20, 2019","51.494","47.273","52.140","46.223","3.97K","8.93%"
"Feb 19, 2019","47.273","48.003","49.133","46.550","2.75K","-1.52%"
"Feb 18, 2019","48.003","43.737","48.766","43.737","5.80K","9.75%"
"Feb 17, 2019","43.737","43.426","44.926","42.673","2.48K","0.72%"
"Feb 16, 2019","43.426","42.587","44.251","42.288","2.22K","2.18%"
"Feb 15, 2019","42.500","41.386","44.458","41.153","2.93K","2.69%"
"Feb 14, 2019","41.386","41.606","42.496","40.517","1.28K","-0.53%"
"Feb 13, 2019","41.606","44.000","44.500","40.770","2.11K","-5.44%"
"Feb 12, 2019","44.000","42.939","44.531","42.042","1.99K","2.47%"
"Feb 11, 2019","42.939","46.866","46.866","41.785","3.13K","-8.38%"
"Feb 10, 2019","46.866","45.000","47.449","42.350","5.29K","4.15%"
"Feb 09, 2019","45.000","42.873","46.500","42.027","12.68K","4.96%"
"Feb 08, 2019","42.873","33.020","44.444","33.000","10.72K","29.84%"
"Feb 07, 2019","33.020","32.996","33.574","32.715","0.98K","0.07%"
"Feb 06, 2019","32.996","34.209","34.431","32.270","2.87K","-3.43%"
"Feb 05, 2019","34.168","34.089","34.551","33.610","1.09K","-0.11%"
"Feb 04, 2019","34.204","33.399","34.566","33.399","1.42K","2.41%"
"Feb 03, 2019","33.399","34.495","34.900","32.900","2.80K","-3.18%"
"Feb 02, 2019","34.495","32.628","34.890","32.469","1.62K","5.72%"
"Feb 01, 2019","32.628","31.337","33.540","30.804","1.97K","4.12%"
"Jan 31, 2019","31.337","31.688","32.385","31.115","0.99K","-1.11%"
"Jan 30, 2019","31.688","30.918","32.067","30.427","3.12K","2.49%"
"Jan 29, 2019","30.918","30.936","31.270","30.050","1.72K","-0.06%"
"Jan 28, 2019","30.936","32.331","32.460","30.000","3.02K","-4.32%"
"Jan 27, 2019","32.331","32.802","33.148","31.550","1.80K","-1.43%"
"Jan 26, 2019","32.802","32.800","33.840","32.543","1.57K","0.01%"
"Jan 25, 2019","32.800","32.581","32.903","31.926","1.13K","0.67%"
"Jan 24, 2019","32.581","31.626","33.000","30.991","1.43K","3.02%"
"Jan 23, 2019","31.626","31.356","32.312","31.331","1.76K","0.86%"
"Jan 22, 2019","31.356","30.820","31.861","29.602","1.60K","1.59%"
"Jan 21, 2019","30.865","30.941","31.235","30.361","2.17K","-0.24%"
